"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1853438","360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949","2024-06-29T22:00:00.000","2","DRIVER","1","1765617",,"HONDA","CIVIC","IL","2011","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"2",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853507","c8134fe4e5a1c42c4b3ff9088a220f2b94da95594149d6acb0ee7a85c5f8b97450a395d9e44e0a44a9c158ef6e1f879426df170454ff747acaeb7d2f2959f679","2024-06-29T22:00:00.000","1","DRIVER",,"1765681",,"FORD","F150","IL","2010","UNKNOWN","PICKUP","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"N",,,,,,,,,,"N","N","Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853508","c8134fe4e5a1c42c4b3ff9088a220f2b94da95594149d6acb0ee7a85c5f8b97450a395d9e44e0a44a9c158ef6e1f879426df170454ff747acaeb7d2f2959f679","2024-06-29T22:00:00.000","2","DRIVER",,"1765686",,"VOLKSWAGEN","PASSAT","IL","2014","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD","Y",,"1",,"PERSONAL TOW",,,,,,,"Y","Y","Y","Y",,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853445","4c3f5cd6a8642b19a7432172066ea2552c3d3bfb289673e847add8b46baed819fb6c59de0c76e2817b7b38a967933728aa89dd3de8fcd806e5b2f0944d9ad8c4","2024-06-29T21:55:00.000","1","DRIVER",,"1765622",,"TOYOTA","PRIUS","IL","2014","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,"Y","Y","Y",,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853446","4c3f5cd6a8642b19a7432172066ea2552c3d3bfb289673e847add8b46baed819fb6c59de0c76e2817b7b38a967933728aa89dd3de8fcd806e5b2f0944d9ad8c4","2024-06-29T21:55:00.000","2","DRIVER","1","1765626",,"CHEVROLET","MALIBU","IL","2008","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"2",,,,,"Y",,,,,,,,,,,"Y",,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853429","192fe12659daa34f69da8786a149eafd11280c095b7eb6c0d93c809146799e1671ea72b3c807582baab191c3d7a0c8c1bc4411f5335d02bb0e61bf87577321da","2024-06-29T21:44:00.000","1","DRIVER",,"1765610",,"MITSUBISHI","OUTLANDER","IL","2019","NONE","PASSENGER","UNKNOWN/NA","N","PASSING/OVERTAKING",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853430","192fe12659daa34f69da8786a149eafd11280c095b7eb6c0d93c809146799e1671ea72b3c807582baab191c3d7a0c8c1bc4411f5335d02bb0e61bf87577321da","2024-06-29T21:44:00.000","2","DRIVER","2","1765608",,"HONDA","CR-V","IL","2022","NONE","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"3",,,,,"Y","Y",,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853457","27d583d3b956d566a9285dff277cd804c064abe8608f40285df7830466ac3d563512da721215afc5e2896965893f0d9d6a0587647362f648c2aa363b55f2ba34","2024-06-29T21:30:00.000","1","DRIVER",,"1765629",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","W","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853458","27d583d3b956d566a9285dff277cd804c064abe8608f40285df7830466ac3d563512da721215afc5e2896965893f0d9d6a0587647362f648c2aa363b55f2ba34","2024-06-29T21:30:00.000","2","PARKED",,"1765636",,"FORD","F150","IL","2021","NONE","PASSENGER","NOT IN USE","W","PARKED",,,"0",,,,,,"Y","Y","Y","Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853471","a950fa5ab6da97ed221e69b29b8cfecae90e0184f723e6ee9af00cf1325f8bc8804798d5dfd7b8a87ec7d317c37e2cfbfeb142e6bec79cb61490dbd9ccfa3ce4","2024-06-29T21:30:00.000","1","DRIVER",,"1765641",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)",,,"UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
